id,name,email_id,phone,place,image,propertytype,prop,price,description,status,date,location,document,bedrooms,bathrooms,area_sqft,is_furnished,parking_space
35,nnjm,14,7896543210,tokyo,images/images_UR3n7XC.jpg,House,sale,780000,"kk,k,",Available,2025-02-21,,,2,1,5000.00,True,False
36,hjnmhn,60,678909090,thrissur,images/carousel-2_zbFq4Ta.jpg,Apartment,sale,678000,vgbgb,Available,2025-02-27,,documents/properties/call-to-action.jpg,2,2,6000.00,True,True
37,alan villa,60,566777777777777,thrissur,images/about_UR0KVou.jpg,Apartment,sale,78000,nnhnh,Available,2025-02-27,,documents/properties/header.jpg,3,2,6500.00,True,True
38,east coast villa,60,678899999,thiroor,images/property-6_RVEsPpP.jpg,House,sale,560000,fvfvgbgb,Available,2025-02-27,,documents/properties/property-1.jpg,2,3,700000.00,True,True
39,westcoast villa,60,566777777777777,thrissur,images/property-4_XxlAD8W.jpg,House,sale,670000,vgbgbgb,Available,2025-02-27,,documents/properties/about.jpg,2,2,6800.00,True,True
40,hnhn,60,890876767,thrissur,images/carousel-2_JMUE3bl.jpg,Apartment,sale,780000,hnnhhnhn,Available,2025-02-27,,documents/properties/property-5.jpg,4,1,5000.00,True,True
41,villa,60,9847675894,thrissur,images/about_XdG3VRH.jpg,Office,sale,76000,"A premium office space featuring floor-to-ceiling windows, modern interiors, and state-of-the-art conference rooms. Ideal for tech startups and corporate firms.",Available,2025-02-27,,documents/properties/default-profileimage.jpg,2,1,6000.00,True,True
42,Bayview,60,789012345,tokyo,images/carousel-1_3DqM3AT.jpg,Office,sale,56000,"Located in a prestigious business district, this fully furnished office includes private cabins, a spacious boardroom, and a dedicated reception area.

",Available,2025-02-27,,documents/properties/header_vFP8sEz.jpg,2,2,5000.00,True,True
43,rockport,60,789123456,thiroor,images/carousel-1_EhAOyWC.jpg,Office,rent,40000,"A vibrant co-working space with high-speed internet, coffee stations, and ergonomic workstations. Perfect for freelancers and small teams.",Available,2025-02-27,,documents/properties/carousel-2.jpg,1,1,4000.00,True,True
44,Olympic square,60,9847675894,tokyo,images/property-1_jqrQupv.jpg,Office,rent,70000,"A trendy office with exposed brick walls, open workspaces, and a mezzanine meeting room. Designed for creative agencies and collaborative teams.",Available,2025-02-27,,documents/properties/call-to-action_7yDns2e.jpg,2,2,6000.00,True,False
45,Wangan Residence,7,9847675894,tokyo,images/about_anjAt9I.jpg,House,sale,69000,"A charming home with a spacious backyard, an open-plan kitchen, and a cozy fireplace in the living room. Perfect for families",Available,2025-02-27,,documents/properties/back.jpg,3,2,7000.00,False,True
46,Willowbrook Estate,7,9847675894,New york,images/about_bmQc8mh.jpg,House,sale,790000,"A sleek, architect-designed villa with floor-to-ceiling glass, an infinity pool, and breathtaking mountain views.",Available,2025-02-27,,documents/properties/default-profileimage_MVIpvGj.jpg,2,2,5000.00,True,True
47,Regal Heights,7,7888879034,New york,images/property-3.jpg,House,sale,780000,"A cozy stone-built cottage featuring a thatched roof, wooden beams, and a fireplace, set in a peaceful rural setting.",Available,2025-02-27,,documents/properties/about_D6ipQox.jpg,3,2,7800.00,True,True
48,Velvet Ridge,7,7888879034,thrissur,images/carousel-2_iwtWeVg.jpg,House,rent,800000,"A luxurious beachfront home with a private deck, direct beach access, and an outdoor entertainment area with a BBQ space.",Available,2025-02-27,,documents/properties/property-5_pbC2Hx8.jpg,3,2,8000.00,True,True
49,Azure Horizons,7,9847675894,thiroor,images/property-2_jpWklAu.jpg,House,rent,56000,"A sustainable home designed with energy-efficient appliances, rainwater harvesting, and smart home technology for modern eco-living.",Available,2025-02-27,,documents/properties/icon-apartment.png,2,1,4000.00,False,True
